filename,gt,crnn_pred,tess_pred
00050,មោរ៉ា,មោរ៉ា,យោរ៉ា
00051,ជ្រប់,ជ្រប់,ន្រប់
00052,ដើរ ឈរ អង្គុយ និយាយ,ដើរ ឈរ អង្គុយ និយាយ,ដើរ ឈរ រុយ និយាយ
00053,ក្រុង វគ្គ ទី១០   ប្រពន្ធ ស្លាប់,ក្រុង វគ្គ ទី១០   ប្ពន្ធស្លាប់,ក្រុងវគ្គទី១០ ប្រពន្ធ ស្លាប់
00054,សិល្បៈវប្បធម៌ជាតិ,សិល្បៈវប្បធម៌ជាតិ,សិស្បៈវំប្យឆម័ជានិ
00055,ជា ការទូន្មាន ប្រៀប ប្រដៅ របស់ គ្រូអាចារ្យ ណាមួយ ក្នុង លោក,អក នវ ស្សបព ន ន្ុ្រ្ន ភ្ទ,៣ ករទូន្នាន ព្រៀម ប្រដៅរបស់ គ្រូអាបាអ្ង.ណាមួយ ងន
00056,អ្ហ !,អ្ហ !,អ្ន !
00057,តាមគោលការណ៍ជាមូលដ្ឋាន,តាមគោលការណ៍ជាមូលដ្ឋាន,តាស=(កាលកាខយ៉ជាឃូលដ្ឋាន
00058,ប្រទេសណា,ប្រទេសណា,ប្រ(បយយា
00059,ចូរបង្ហាញ,ចូរបង្ហាញ,ចូ3បង្ហាញ
00060,សង្គម ធម៍,សង្គម ធម៍,សង្កម ឆយ
00061,ប្រជាជាតិនៅអាស៊ី,ប្រជាជាតិនៅអាស៊ី,ជ្រជាដាគិនស៊ី
00062,ទ្រទេសទ្រទួយ,ទ្រទេសទ្រទួយ,យនេសឲ្រទួយ
00063,ផ្អេះៗ,ផ្អេះៗ,(ផ្លះៗ
00064,រស់នៅ គ្រប់គ្រាន់ មាន,រស់នៅ គ្រប់គ្រាន់ មាន,រស់នៅ គ្រប័គ្រាន់ បាន
00065,១   ទត ឃើញ មនុស្ស មាន ជំងឺ ១   ទត ឃើញ មនុស្ស,+ អស់ីឬនុ្សខ៖ៈង៉ើរ អប៍ញឬមនខុម,ទតឃើញមនុស្សមានជំងឺ១ ទតឃើញ មនុស
00066,អទុរាគតា,អទុរាគតា,%ទុរាគតា
00067,ជា៖គោលការណ៍និរន្តភាព,ជា៖គោលការណ៍និរន្តភាព,"ជា#,កាលការយ៉និ១ន្គតា0"
00068,ផ្លូវភេទ ។ តើ អំពើហិង្សា,ផ្លូវភេទ ។ តើ អំពើហិង្សា,ថ្លូ$(ត 7 (តិ ំ(តិហិល្សា
00069,ពុទ្ធ​សាសនប្បវត្តិ,ពុទ្ធសាសនប្បវត្តិ,ពុទ្ធសាស= ប៊ុ រិត្តិ
00070,។ដំបូងមានអារម្មណ៌ភ័យដែរ,។ជំបូងមានអារម្មណ៌ភ័យដែរ,។នំប៉ូនយានរនារម្មណ៏ភ័យវនរ
00071,ត្រឹមត្រូវ។វិធី,ត្រឹមត្រូវ។វិធី,ត្រឹមត្រូវ
00072,កំណត់ដោយច្បាប់និង,កំណត់ដោយច្បាប់និង,កំណគនៅយច្បាប័ន
00073,ឧទយ--,ឧទយ--,ខទយ--
00074,មេរ័យ,មេរ័យ,(២៦២
00075,គ្រូ ជា អ្នកសង់,គ្រូ ជា អ្នកសង់,"គ្រូ ជា ,ស្មគាសយ័"
00076,ក្នុង ថ្នាក់ និង,ក្នុង ថ្នាក់ និង,ក្នុង ថ្នាក់ និង
00077,តែ ខាង ពី,តែ ខាង ពី,តែខាងពី
00078,បួនតំបន់ធំៗ៖តំបន់,បួនតំបន់ធំៗខតំបន់,ួនតំបន់បំៗ#តំបន់
00079,ធំ ៗ ទ្រង់ បាន,ធំ ៗ ទ្រង់ បាន,ទំៗទ្រង់បាន
00080,ស្ថាពរ,ស្ដាពរ,ស្ថាពរ
00081,ពីរឬច្រើន,ពីរឬច្រើន,6រប្ញច្រើន
00082,គោឃាតស្ថាន,គោឃាតស្ថាន,ណយាគស្ចា&
00083,ភេល,ភេល,តល
00084,សំនប៉ាហាំងនិងតង់ស្តែន។,សំនបាហាំងនិងតង់ស្ដែន។,យំនប៉ាហ៌ាបនំងតប់ស្ច37
00085,សម្ពាធ ។ តើ អ្វី កំណត់,សម្ពាធ ។ តើ អ្វី កំណត់,សម្ពាធ។ តើអ្វី កំណត់
00086,លាប,លាប,/ឋា/
00087,ស្វាព្រាហ្មណ៍៤.,ស្វាព្រាហ្មណ៍៤.,ស្វាព្រាហ្មយ៍៤.
00088,ជ្រេ,ជ្រេ,ព្រ
00089,ឬធ្វើអាជីវកម្មនានាក្នុង,ឬធ្វើអាជីវកម្មនានាក្នុង,។(ទ្វូ»ាជី8កម្មនានាគ្នុ៤
00090,ភិក្ខុមុនគេ។តើ,ភិក្ខុមុនគេ។តើ,កិក្ខុមុនគេ។តើ
00091,គជ្រា,គជ្រា,គ្រា
00092,។ខ -,។ខ -,មុខ --
00093,គឺ៖មេត្តាៈគឺជា,គឺ៖មេត្តាៈគឺជា,គឺ៖បេត្តា:គឺជា
00094,ស្រៀក,ស្រៀក,ស្រក
00095,?ប្រភពធនធាននៃបេឡា,?ប្រភពធនធាននៃបេឡា,?ប្រូភពនន អា នានបេឡា
00096,ថ្លា ស្រស់ស្រាយ ប្រតិកម្ម,ថ្ងា ស្រស់ស្រាយ ប្រតិកម្ម,ថ្លា ស្រស់ស្រាយ ប្រតិកម្ម
00097,បាននូវចរិតសកម្មរបស់មនុស្ស,បាននូវចរិតសកម្មបស់មនុស្ស,បានន្ធ?ចរិតសកខ្វរបស៍មនុស
00098,និងទន្លេសាប។តើដី,និងទន្លេសាប។តើដី,និ@ទ្ទ្ល្ឌសាប។លពីធី
00099,លួច ចម្លង,លួច ចម្លង,លួច ចម្លប
00100,សីលព្វ័ត,សីលព្វ័ត,សីលព្វ័ត
00101,ទៀត ។ តើ សម្តេច ព្រះមហា សុមេធាធិបតី   ជោតញ្ញាណោ   ជួន,អ គំន្េករេោាមអច់ំ ជពអ្ល យ,ទៀត។ តើ សម្តេច ព្រះមហា សុមេធាធិបតី ជោតញ្ញាណោ ជួន្ធ”
00102,ពត៍មានគេតែងតែប្រើ,ពត៍មានគេតែងតែប្រើ,ាភ័មានគេណន៍ពតឃ្រី
00103,ព្រោក,ព្រោក,(ព្រាក
00104,មេជី,មេជី,សេនី
00105,ចម្រាញ,ចម្រាញ,ចម្រាញ
00106,ជំងឺផ្សេងៗពេលកំពុងធ្វើ,ជំងឺផ្សេងៗពេលកំពុងធ្វើ,ជំងឺផ្សេង១ៗពេលកំពុងធ្វើ
00107,ស្វាមី   ៖   ស្វាមី ដូច មិត្តភក្តិ,ញ្មា    ស្ាម ដួច មិតភក្តិ,
00108,ត្រអាល,ត្រអាល,(តអាល
00109,បាហុនកៈ,បាហុនកៈ,បាហុនកៈ
00110,បន្ទច់,បន្ទច់,បន្ធច
00111,ខ្វង,ខ្វង,ខួង
00112,ជំនាន់ មួយ ទៅ ជំនាន់ មួយ,ជំនាន មួយ ទៅ ជំនាន់ មួយ,នន់ មួ០) (9 ជំនាន់ លួយ
00113,។   អាស៊ាន   ជា ពាក្យ,។   អាស៊ន   ជា ពាក្យ,។ អាស៊ាន ជាពាក្យ
00114,នៃ គ្រូ ក្នុង ថ្នាក់   មាន កម្រិត ខ្ពស់ ។ ដូចនេះ,ន្ ្ក្ា មាក ច្នុ ្ុង ្លន,នៃ.គ្រូ ក្នុងថ្នាក់ :មាន កម្រិត ខ្ពស់ ។ ជូថនេះ
00115,ដោយ ផ្ទាល់ និង ប្រយោល,ដោយ ផ្ទាល់ និង ប្រយោល,នោយ ផ្ទាល់ និន ប្រយោល
00116,គរុកោសល្យ ( សព្វ ថ្ងៃ,គរុកោសល្យ ( សព្វ ថ្ងៃ,គុណាសស្យ ( សប +
00117,ជុល ក សាង បន្ថែម,ជុល ក សាង បន្ថែម,ជុល ក សាង បន្ថែម
00118,ប្រជួប,ប្រជួប,ជ្រជួប
00119,/ គុណវិប ត្តិៈ នាំឲ្យ មាន សង្គ្រៀម កើតឡើង ដោយសារតែ ហេតុផល ប្រកាន់ សាសនា កើតមាន ការប្រកាន់,- ក្រែជ្លងបូងំង វងដាក់កាព,វិប គ្គៈ នាំឲ្យ មាន សង្គ្រៀម កើតឡើង ដោយសារតែ ហេតុផល ប្រកាន់ សាសនា កើតមាន ការប្រក /
00120,។ អ្នក ប្រហែលជា គិត ថា,។ អ្នក ប្រហែលជា គិត ថា,។ អ្នក ប្រហែលជា គិត ថា
00121,ដំណំ,ដំណំ,នំណំ
00122,ជនានុជន,ជនានុជន,ជនានុជន
00123,សុធម្ម,សុធម្ម,សុធម្ច
00124,មាន ការចូលរួម ក្នុង,មាន ការចូលរួម ក្នុង,មាន ការចូលរួម ក្នុង
00125,មង្គលវប្បៈ,មង្គលវប្បៈ,ប=ដល5ឃួះ
00126,រំលោង,រំលោង,រំលោន
00127,ធ្យានានុភាព,ធ្យានានុភាព,ងានានុឆាស៧
00128,សកលហើយ,សកលហើយ,សគលហើយ
00129,ស្វាធ្យាយិន,ស្វាធ្យាយិន,ស្ទាញ្ជាយិន
00130,នយោបាយ ប្រចាំ តំបន់ ដោយ,នយោបាយ ប្ចំ តំបន់ ដោយ,#ណាជ៉ាយ ជ្រចាំ អំបន នៅយ
00131,គ្នា ។ សេចក្ដីថ្លែងការណ៍,គ្នា ។ សេចក្តីថ្លែងការណ៍,គ្នា 7 (@ចគ្នឺថ្ញែបកានយ៉
00132,នាពេលអនាគត។កុមារ,នាពេលអនាគត។កុមារ,"នាឈណល,/នាគត ។កុ?រ"
00133,ពីព្រះបរមរាជវាំងយាងទៅ,ពីព្រះបរមរាជវាំងយាងទៅ,"សីព្រាះៗរ២រាជវាំ""សាចឈណៅ"
00134,គោរព គ្នា ទៅ វិញ ទៅមក,គោរព គ្នា ទៅ វិញ ទៅមក,ណារស គ្នា ឆា វិញ ឆក
00135,ដ៏ធំមួយនៅក្នុងតំបន់,ដីធំមួយនៅក្នុងតំបន់,នីអំ ក្ហួយនៅ ក្នុដ់តំ២ន
00136,ខ្យល់ សើម,ខ្យល់ សើម,ខ្យល់ សើម
00137,ក្រួសនិងកំណប់,ក្រួសនិងកំណប់,គ្រួសនិនគំណប់
00138,ស្ថានទូត,ស្ថានទូត,ស្ថានទូត
00139,មេ​គ្រួ,មេគ្រូ,(គ្រ
00140,សោតា,សោតា,សោតា
00141,ខ្មែរ ?,ខ្មែរ ?,ខ្មែរ ?
00142,ចំពោះទន្លេមេគង្គនិងទន្លេ,ចំពោះទន្លេមេគង្គនិងទន្លេ,បំទោះទន្លេមេគរ្លនិន័ទន្លេ
00143,វិក្ខិត្ត​ចិត្ត,វិក្ខិត្តចិត្ត,ទិគ្ខិត្តចិត្ត
00144,សុវត្ថភាពឬ,សុវត្ថភាពឬ,សុនត្ថតា0ឬ
00145,ឱ្យបានប្រសើរ,ឱ្យបានប្រសើរ,ទបាន(ពស៊េរ
00146,ខ្វែកត្រោក,ខ្វែកត្រោក,ខួក(ត្រាក
00147,ដែល ជា គមនាគម,ដែល ជា គមនាគម,ដល ជា កសនាក=
00148,ប្រដក់,ប្រដក់,បនក
00149,ត្រងើល,ត្រងើល,ត្រនិល
00150,ចាំ ទេ ពាក្យបង ធ្លាប់ និយាយ,ចាំ ទេ ពាក្យបង ធ្ាប់ និយាយ,ចាំទេ ពាក្យបង ធ្លាប់ និយាយ?
00151,ហើយបានអនុវត្ត,ហើយបានអនុវត្ត,ហើយបានអនុវត្ត
00152,បំណង ពង្រឹង,បំណង ពង្រឹង,បំណន៍ «ប្រឹង
00153,ជប --,ជប --,ជប --
00154,ស្ទើរ,ស្ទើរ,ស្ទើរ
00155,បុរាណ,បុរាណ,បុរាណ
00156,ភ្នំ ក្រវាញ,ភ្នំ ក្រវាញ,នំ ស្រាយ
00157,មក សាង រត្ត,មក សាង រត្ត,យក សាន រត្ន
00158,  ចូលមក ឆាក ទី៦   មនុស្ស ដដែល,  ចូលមក ា ទី   មុ្ស ដែល,ចូលមក ឆាក ទី៦ មនុស្ស ដដែល
00159,កៅស៊ូសំលៀកបំពាក់ស្រូវល្ង,កៅស៊ូសំលៀកបំពាក់ស្រូវល្ង,កៅស៊ូសំលៀកបំពាក់ស្រូវលួ
00160,ដោយ ពិនិត្យ លើ ចំណូលចិត្ត,ដោយ ពិនិត្យ លើ ចំណូលចិត្ត,(ដាយ ពិនិត (ស ចំពាលច@ំត្ត
00161,វាណវារ,វាណវារ,រាណ រារ
00162,របស់ខ្លួនឬកិត្តិសព្ទនៃ,របស់ខ្លួនឬកិត្តិសព្វនៃ,បស នឬកិត្ថិសជនន
00163,ធរណី,ធរណី,វសណើ
00164,ត្រូវ ស្ដាប់ ពិនិត្យ,ត្រូវ ស្តាប់ ពិនិត្យ,ត្រូវ ស្តាប់ ពិនិត្យ
00165,ឈើត្រង់,ឈើត្រង់,ឈើវ្រដ័
00166,សមត្ថកិច្ចៈជំនុំជំរះគ្រប់,សមត្ថកិច្ចៈជំនំជំ៖ះគ្រប់,សមគ្ថាកិច្ច.-ជ័ន្តុំជរះ(នប់
00167,ខ្ពង់ខ្ពស់,ខ្ពង់ខ្ពស់,ម្តយមស់
00168,?ចូររៀបរាប់,?ចូររៀបរាប់,?ធ្នូររៀយរាប័
00169,ថ្មម៉ាប,ថ្មម៉ាប,ថ្នយ៉ាប
00170,យកម្ដិលៈអស្សជិមហានាម,យកម្គិលអស្សជិមហានាម,យកម្ពិលៈអស្សជិមហានាម
00171,ជក់,ជក់,នក
00172,៣. សិទ្ធិ ទទួល,៣. សិទ្ធិ ទទួល,៣. សិទ្ធិ ទួល
00173,មនុស្ស?,មនុស្ស?,នុស?
00174,រួមមាន៖,រួមមាន៖,រ មមាន#
00175,រឡេមរឡាម,រឡេមរឡាម,រន្លេមរខាម
00176,វិជ្ជាជីវៈក៏ត្រូវចាប់,វិជ្ជាជីវៈក៏ត្រូវចាប់,ទឺច្ទាជែន:ក៏គ្រូនចាប់
00177,រស់នៅឲ្យបានច្រើនដោះស្រាយ,រស់នៅឲ្យបានច្រើនដោះស្រាយ,រសៅណូ/ប៉ានឈយី&ឆាះស្រយ
00178,សិង្ហ,សិង្ហ,សិង្ហ
00179,អោយ ជឿ ថា ការចាប់ផ្ដើម,អោយ ជឿថា ការចាប់ផ្តើម,(យ (ន ថា កានចា%(ផ្ធិ២
00180,ក្បំ,ក្បំ,ក្ប
00181,ទំនៀមទំលាប់ ខ្មែរ ដ៏ ល្អ បវរ   ព្រមទាំង បាន ធ្វើ,ដ្ម ទល់ម្វ ល មា់ ា៍,ននៀម័ទំលាប់'ខ្មែរដ៏ ល្អ បវរ ព្រមទាំង បាន 8
00182,គេ ឈប់ នៅ កែប ដាក់ ភ្ញៀវ សិន ។   សម្រាប់ ម៉ោង ចេញដំណើរ,នដាៅ វ ខ្លន ។ ចេក នាអឆ្នំប៍,គេ ឈប់ នៅ/ក៊ែប'ជាក់.គ្ញៀវ សិន“។ សម្រាប់ ម៉ោង ចេញដំពេកីរ
00183,អព្រហ្មចារិនី,អព្រហ្មចារិនី,»ព្រាហ្មចាវិនី
00184,នូវអ្វីៗ,នូវអ្វីៗ,ខូរម៉ូៗ
00185,សូវមានតម្លៃទេពុទ្ធិផ្សេង,សូវមានតម្លៃទពេទ្ធិផ្សេង,សូ$បានត៤្លៃ(5(ទ្ធិ(ញ្ញល
00186,អាបោ,អាបោ,អាបោ
00187,ផ្លូវ សមុទ្ទ ទន្លេ មេគង្គ   ទន្លេ យ៉ង់ សេ   ទន្លេ,ខួ ្ ន្ស្ ន្ ស ង ទេ,ផ្លូវសមុទ្ធ ទន្លេមេគង្គ ទន្លេយ៉ង់សេ ទន្លេ
00188,ពិធីបុណ្យខួប១០០ថ្ងៃគេ,ពិធីបុណ្យខ្ធួយ១០០ថ្ងៃគេ,ពិធីបុណ្យខួប១០០ថ្ងៃគេ
00189,ស្រវា,ស្រវា,ស្ររា
00190,  ហើយ ទាំង មន្ត្រីរាជការ ទាំង ប្រជាពលរដ្ឋ, លើយ ាំមផ្លិលាទា់ ប្វពលដ្,ហើយ ទាំង មន្តីរាជការ.ទាំង ប្រជាពលរដ្ឋ.
00191,ចំពួយ,ចំពួយ,មំពូ យ
00192,មិន ត្រូវ ឱ្យ,មិន ត្រូវ ឱ្យ,ន គ្រូ៖ ឱ្យ
00193,ម្ហូប,ម្ហូប,គួង
00194,ផែ,ផែ,នែ
00195,ត្រោក​សាញ,ត្រោកសាញ,ក្រោកសាញ
00196,តើ តំបន់ អាស៊ី អាគ្នេ យ៏ មាន,តើ តំបន់ អាស៊ី អាគ្នេ យ៍ មាន,តើ.តំបន់:អាស៊ី/អាគ្នេ យ៏'មាន
00197,? យន្តការ នៃ បោះឆ្នោត មាន,? យន្តការ នៃ បោះឆ្នោត មាន,? យន្តការ នៃ បោះឆ្នោត មាន?
00198,ទៀត ។,ទៀត ។,ទ្យ ។
00199,ដំណាំនិងនាំដី,ដំណាំនិងនាំដី,នំណាំនិនាំមី
00200,ត្រួវៈ   ក្នុង របប ប្រជាធិបតេយ្យ ដែល ត្រូវបាន តែងតាំង   និង ជ្រើសតាំង ទទួលខុសត្រូវ ចំពោះ មុខ ប្រជាពលរដ្ឋ, ក់គ្នៃ ំ នក្ក្ រេ?,ស ង យប័ប្រជាធិបតេយ្យ ដែល ត្រូវធាន.តែង់គំង និង ជ្រើសតាំង ទទួលខុសត្រូវ បំពោះ មខ
00201,នៅកូសាំង,នៅកូសាំង,ក
00202,មនុស្សឲ្យកាន់តែស្អាតស្អំ,មនុស្សឲ្យកាន់តែស្នាតស្នំ,២ខុស្សឲ្យកាន់តែស្ហាតស្មំ
00203,មកពី៖ចង់ដឹងចង់សាកអ្វី,មកពី៖ចង់ដឹងចង់សាកអ្វី,យកី៖ធដដីងចន័សាកអ្វី
00204,សែនសល្អដូចសំលីក្រក៏មិនរក,សែនសល្យដូចស់លីក្រកំមិនរក,សែនសល្អគូមសំលីក្រក៏សិនរក
00205,ម៉ាលេ៦១.៧%ឥណ្ឌា៨.១%ចិន២៩.,ម៉លេ៦១៧:ភណ្ឌា១.១.ចិន២៩.,ស៉ា(ល៦១.0»តទ្ឋកាច. 9%ចិន២៩.
00206,( បវេណី )   ទំនៀមទម្លាប់   សាសនា   បរិស្ថាន សង្គម   ក្នុង,៣ដៅ ន្ន្ ោ បន សុ្ នុ,(បវេណី ) ទំនៀមទម្លាប់ សាសនា បរិស្ថាន សង្គម ក្នុង
00207,រយៈពេលដែលត្រូវទៅតម្លៃនិង,រយៈពេលដែលត្រូវទៅតថ្លៃនិង,រសៈឈសលនលគ្រូវំទគ3្លនិ?
00208,ៗទៀត,ៗទៀត,ពទៀរភ
00209,សាកលវិទ្យាល័យអ្វីខ្លះ?,សាកលវិទ្យាល័យអ្វីខ្លះ?,សាកលនិឡាយ៍យខ៉ិខ្លះ?
00210,ក្អិត,ក្អិត,ក្អិត
00211,ស្ម័គ្រ,ស្ម័គ្រ,ស្ទ័ត្រ
00212,ត្រូវ មាន លក្ខណៈ សម្បត្តិ យ៉ាងណា   និង ធ្វើ សកម្មភាព,គ្រទ កស េ្សំយាៈ នម្ីើអ ច្ា,ត្រូវ.មាន លគ្ខណៈសម្បត្តិ:យ៉ាងណា: និងធ្វើ សកម្មភាព.
00213,រាជធានី ភ្នំពេញ មាន ខណ្ឌ,រាជធានី ភ្នពេញ មាន ខណ្ឌ,រាន អានី ភ្នំពេញ យាន ខណ្ឌ
00214,១២   ផ្លែ )១   ផ្លូន   =   ១០   ដំប,១   ថ្ង  ខ្លី ១  ៦,2 .
00215,កលិយុគ,កលិយុគ,កលិយុក
00216,Card ឬ Master,Bae ឬ Moeen,7៧ ស //៣4/ខ/”
00217,អាជីវកម្មតែមួយដូចគ្នា។,អាជីវកម្មតែមួយដូចគ្នា។,រអាជីវកម្មវភក្មួយគ៉ូចគ្នា។
00218,ក្រចាប់,ក្រចាប់,ក្រចាប់
00219,  មាន ទំនាប បឹង   និង ទំនាប ទន្លេ បួន មុខ     តំបន់ ខ្ពង់រាប៖,ទអចំ់ ំបកពេ្ុ  ក អ្ះ,មាន ទំនាប បឹង និង ទំនាប ទន្លេបួនមុខ តំបន់ ខ្ពង់រាប៖.
00220,ក្រោមដំបូលផ្ទះនិងក្នុង,ក្រោមដំបូលផ្ទះនិងក្នុង,ក្រោសដ២លថូ2និបក្ខុ
00221,រឿងរ៉ាវ,រឿងរ៉ាវ,រឿងរ៉ាវ
00222,កង,កង,កន
00223,ការជួញដូរ មនុស្ស   ស្ត្រី   កុមារ   ផ្លួវភេទ   និង ជម្ងឺ អេដស៏,ក្ល ផូសល រើ បង ខ្ូន ំ ៉ំន់,ការជួញដូរ មនុស្ស ស្ត្រី កុមារ ផ្លូវភេទ និង ជម្ងឺ អេដស៏
00224,វប្បធម៌និងមរតកចម្រុះក្នុង,វប្បធម៍និងមរតកចប្រះក្នុង,$្យប៤និប=8តកចម្រុះក្មុ៤
00225,អម្ពុះ,អម្ពុះ,៥ មះ
00226,ក្នុងធនាគារអស់ចិត្តរៀង,ក្នុងធនាគារអស់ចិត្តរៀង,ក្កុវឆនាគារស់ចិត្តល្យ៤
00227,សំទារ,សំទារ,សំទារ
00228,ប្រផង់,ប្រផង់,ប្រផង់
00229,លន់តួ,លន់តួ,លនរូ
00230,រូប ។ យុវជន អាច មាន,រូប ។ យុវជន អាច មាន,រូប 7 យុ5ន3 4%ាច ន
00231,ប្រមុខ,ប្រមុខ,្មរមុំ១
